ID,市町村番号,名前,町域名,ふりがな,
31463,262,青葉町,青葉町,あおばまち,1
31416,262,青葉山,青葉山,あおばやま,1
31521,262,赤坂一丁目,赤坂,あかさか,1
31492,262,赤坂三丁目,赤坂,あかさか,1
31565,262,赤坂二丁目,赤坂,あかさか,1
31378,262,あけぼの町,あけぼの町,あけぼのまち,1
31569,262,旭ケ丘一丁目,旭ケ丘,あさひがおか,1
31537,262,旭ケ丘三丁目,旭ケ丘,あさひがおか,1
31591,262,旭ケ丘二丁目,旭ケ丘,あさひがおか,1
31563,262,旭ケ丘四丁目,旭ケ丘,あさひがおか,1
31379,262,愛子中央一丁目,愛子中央,あやしちゅうおう,1
31530,262,愛子中央三丁目,愛子中央,あやしちゅうおう,1
31428,262,愛子中央二丁目,愛子中央,あやしちゅうおう,1
31400,262,愛子中央五丁目,愛子中央,あやしちゅうおう,1
31356,262,愛子中央六丁目,愛子中央,あやしちゅうおう,1
31545,262,愛子中央四丁目,愛子中央,あやしちゅうおう,1
31414,262,愛子東一丁目,愛子東,あやしひがし,1
31495,262,愛子東三丁目,愛子東,あやしひがし,1
31346,262,愛子東二丁目,愛子東,あやしひがし,1
31572,262,愛子東五丁目,愛子東,あやしひがし,1
31366,262,愛子東六丁目,愛子東,あやしひがし,1
31539,262,愛子東四丁目,愛子東,あやしひがし,1
31608,262,荒巻,荒巻,あらまき,1
31536,262,荒巻神明町,荒巻神明町,あらまきしんめいまち,1
31389,262,荒巻中央,荒巻中央,あらまきちゅうおう,1
31368,262,荒巻本沢一丁目,荒巻本沢,あらまきほんざわ,1
31436,262,荒巻本沢三丁目,荒巻本沢,あらまきほんざわ,1
31421,262,荒巻本沢二丁目,荒巻本沢,あらまきほんざわ,1
31533,262,一番町一丁目,一番町,いちばんちょう,1
31385,262,一番町三丁目,一番町,いちばんちょう,1
31430,262,一番町二丁目,一番町,いちばんちょう,1
31375,262,一番町四丁目,一番町,いちばんちょう,1
31409,262,五橋一丁目,五橋,いつつばし,1
31427,262,五橋二丁目,五橋,いつつばし,1
31612,262,芋沢,芋沢,いもざわ,1
31383,262,梅田町,梅田町,うめだまち,1
31613,262,大倉,大倉,おおくら,1
31412,262,大手町,大手町,おおてまち,1
31335,262,大町一丁目,大町,おおまち,1
31423,262,大町二丁目,大町,おおまち,1
31588,262,霊屋下,霊屋下,おたまやした,1
31349,262,小田原七丁目,小田原,おだわら,1
31371,262,小田原五丁目,小田原,おだわら,1
31448,262,小田原八丁目,小田原,おだわら,1
31359,262,小田原六丁目,小田原,おだわら,1
31474,262,小田原四丁目,小田原,おだわら,1
31456,262,落合一丁目,落合,おちあい,1
31459,262,落合三丁目,落合,おちあい,1
31581,262,落合二丁目,落合,おちあい,1
31542,262,落合五丁目,落合,おちあい,1
31486,262,落合六丁目,落合,おちあい,1
31587,262,落合四丁目,落合,おちあい,1
31554,262,折立一丁目,折立,おりたて,1
31564,262,折立三丁目,折立,おりたて,1
31369,262,折立二丁目,折立,おりたて,1
31411,262,折立五丁目,折立,おりたて,1
31422,262,折立六丁目,折立,おりたて,1
31512,262,折立四丁目,折立,おりたて,1
31479,262,貝ケ森一丁目,貝ケ森,かいがもり,2
31465,262,貝ケ森三丁目,貝ケ森,かいがもり,2
31344,262,貝ケ森二丁目,貝ケ森,かいがもり,2
